482 1193 
15 43 1 
15 165 1 
15 76 1 
15 323 1 
15 266 1 
15 368 1 
15 350 1 
15 179 1 
15 55 1 
43 260 1 
43 206 1 
43 321 1 
43 358 1 
165 147 1 
165 227 1 
165 218 1 
165 106 1 
165 203 1 
165 113 1 
165 471 1 
165 261 1 
260 424 1 
260 73 1 
260 96 1 
260 19 1 
260 87 1 
260 125 1 
260 331 1 
206 76 1 
206 426 1 
206 92 1 
206 95 1 
206 433 1 
206 168 1 
206 249 1 
147 365 1 
147 455 1 
147 58 1 
147 38 1 
76 220 1 
76 346 1 
76 122 1 
76 160 1 
76 234 1 
365 144 1 
365 330 1 
365 474 1 
365 310 1 
365 153 1 
365 307 1 
365 223 1 
365 101 1 
426 371 1 
426 141 1 
426 162 1 
426 322 1 
323 341 1 
323 72 1 
323 48 1 
323 98 1 
323 422 1 
92 243 1 
92 328 1 
92 461 1 
92 396 1 
92 185 1 
92 385 1 
266 224 1 
266 200 1 
266 59 1 
371 395 1 
371 232 1 
371 98 1 
371 176 1 
227 345 1 
227 114 1 
227 374 1 
227 292 1 
227 7 1 
218 219 1 
218 129 1 
218 247 1 
218 314 1 
218 67 1 
218 316 1 
218 262 1 
218 449 1 
218 167 1 
218 437 1 
106 80 1 
106 356 1 
106 180 1 
106 433 1 
106 89 1 
106 377 1 
106 134 1 
106 185 1 
106 30 1 
219 302 1 
219 33 1 
219 336 1 
219 198 1 
219 66 1 
219 403 1 
219 250 1 
219 263 1 
219 434 1 
219 148 1 
141 303 1 
141 347 1 
141 326 1 
141 319 1 
141 137 1 
243 192 1 
243 235 1 
243 257 1 
243 334 1 
243 470 1 
303 221 1 
303 195 1 
303 184 1 
303 388 1 
303 300 1 
303 148 1 
220 213 1 
220 478 1 
220 346 1 
220 115 1 
220 306 1 
224 130 1 
224 237 1 
224 258 1 
368 120 1 
368 230 1 
144 399 1 
144 267 1 
144 387 1 
144 427 1 
350 413 1 
350 166 1 
350 414 1 
350 226 1 
350 27 1 
302 33 1 
302 30 1 
330 52 1 
330 3 1 
330 256 1 
330 254 1 
330 322 1 
330 197 1 
179 183 1 
179 308 1 
179 381 1 
424 298 1 
424 96 1 
424 32 1 
424 119 1 
424 410 1 
424 46 1 
424 97 1 
424 204 1 
424 421 1 
52 135 1 
52 155 1 
52 407 1 
52 334 1 
52 301 1 
33 110 1 
33 145 1 
33 254 1 
33 191 1 
33 360 1 
73 418 1 
73 81 1 
73 74 1 
73 477 1 
73 196 1 
73 131 1 
73 340 1 
129 51 1 
129 361 1 
129 191 1 
129 146 1 
247 337 1 
247 222 1 
298 66 1 
298 1 1 
298 153 1 
298 443 1 
298 385 1 
110 126 1 
110 36 1 
336 182 1 
336 58 1 
336 249 1 
336 349 1 
455 289 1 
455 448 1 
455 28 1 
455 438 1 
192 246 1 
192 317 1 
192 158 1 
3 471 1 
3 45 1 
3 82 1 
3 69 1 
221 420 1 
221 155 1 
221 331 1 
120 469 1 
120 196 1 
120 295 1 
126 344 1 
126 379 1 
126 19 1 
126 153 1 
126 340 1 
126 391 1 
474 459 1 
474 348 1 
474 40 1 
345 451 1 
345 415 1 
345 265 1 
