36 88
1 0 23
1 7 1
2 0 2
3 0 2
3 5 1
3 7 1
3 8 1
3 10 1
3 12 1
3 26 1
3 27 1
4 0 20
4 1 1
4 2 1
4 6 1
4 25 1
4 33 1
5 0 18
6 0 27
6 11 2
6 34 1
6 35 1
7 0 18
8 0 2
8 9 1
8 24 1
9 0 5
9 4 1
9 6 2
10 0 15
10 5 1
10 13 1
10 16 1
10 17 1
10 19 1
11 0 7
12 0 7
13 0 10
13 2 1
13 7 1
13 28 1
14 0 8
14 6 1
14 30 1
15 0 4
15 1 1
15 4 2
15 6 1
15 14 1
15 16 1
15 20 1
15 22 1
15 24 1
15 33 1
16 0 5
16 32 1
17 0 4
17 4 1
17 6 1
17 11 1
17 15 1
17 18 1
17 21 1
18 0 3
18 6 1
19 0 4
19 23 1
20 0 3
21 0 1
22 0 1
23 0 5
23 32 1
24 0 2
25 0 1
25 29 1
26 0 4
26 31 1
27 0 2
28 0 2
29 0 3
30 0 4
31 0 3
31 6 1
31 34 1
32 0 2
33 0 1
34 0 2
35 0 1
